Id,VN30F1M,len,datetime,open,high,low,close,volume,openinterest,CompareOHLCV,len,datetime,datetime,Value,len,value,Broker,len,cash,value,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,BuySell,len,buy,sell
21,VN30F1M,21,2020-01-06 02:00:00,877.5,878.1,877.0,877.8,6881.0,,CompareOHLCV,21,,737430.0833333334,Value,21,1044254000.0,Broker,21,1044253930.0,1044254000.0,Trades - Net Profit/Loss,21,,,DrawDown,21,0.0,0.4095,BuySell,21,,
22,VN30F1M,22,2020-01-06 02:30:00,877.8,878.1,876.5,876.5,4282.0,,CompareOHLCV,22,,737430.1041666666,Value,22,1053353999.9999996,Broker,22,1053353929.9999996,1053353999.9999996,Trades - Net Profit/Loss,22,,,DrawDown,22,0.0,0.4095,BuySell,22,,
23,VN30F1M,23,2020-01-06 03:00:00,876.5,878.6,876.5,878.3,5252.0,,CompareOHLCV,23,,737430.125,Value,23,1040754000.0,Broker,23,1040753930.0,1040754000.0,Trades - Net Profit/Loss,23,,,DrawDown,23,1.1961790623095034,1.1961790623095034,BuySell,23,,
24,VN30F1M,24,2020-01-06 03:30:00,878.3,879.7,878.3,879.0,7572.0,,CompareOHLCV,24,,737430.1458333334,Value,24,1040159000.0,Broker,24,1040159000.0,1040159000.0,Trades - Net Profit/Loss,24,40159000.0,,DrawDown,24,1.2526652958074538,1.2526652958074538,BuySell,24,878.3,
25,VN30F1M,25,2020-01-06 04:00:00,879.0,882.9,878.6,882.7,9060.0,,CompareOHLCV,25,,737430.1666666666,Value,25,1040159000.0,Broker,25,1040159000.0,1040159000.0,Trades - Net Profit/Loss,25,,,DrawDown,25,1.2526652958074538,1.2526652958074538,BuySell,25,,
26,VN30F1M,26,2020-01-06 04:30:00,883.0,883.3,883.0,883.3,215.0,,CompareOHLCV,26,,737430.1875,Value,26,1040159000.0,Broker,26,1040159000.0,1040159000.0,Trades - Net Profit/Loss,26,,,DrawDown,26,1.2526652958074538,1.2526652958074538,BuySell,26,,
27,VN30F1M,27,2020-01-06 06:00:00,882.8,883.0,876.5,877.3,14868.0,,CompareOHLCV,27,,737430.25,Value,27,1040159000.0,Broker,27,1040159000.0,1040159000.0,Trades - Net Profit/Loss,27,,,DrawDown,27,1.2526652958074538,1.2526652958074538,BuySell,27,,
28,VN30F1M,28,2020-01-06 06:30:00,877.2,877.9,875.2,877.1,13653.0,,CompareOHLCV,28,,737430.2708333334,Value,28,1040159000.0,Broker,28,1040159000.0,1040159000.0,Trades - Net Profit/Loss,28,,,DrawDown,28,1.2526652958074538,1.2526652958074538,BuySell,28,,
29,VN30F1M,29,2020-01-06 07:00:00,877.0,877.9,871.6,872.3,18560.0,,CompareOHLCV,29,,737430.2916666666,Value,29,1040159000.0,Broker,29,1040159000.0,1040159000.0,Trades - Net Profit/Loss,29,,,DrawDown,29,1.2526652958074538,1.2526652958074538,BuySell,29,,
30,VN30F1M,30,2020-01-06 07:30:00,872.1,872.1,872.0,872.0,2891.0,,CompareOHLCV,30,,737430.3125,Value,30,1040159000.0,Broker,30,1040159000.0,1040159000.0,Trades - Net Profit/Loss,30,,,DrawDown,30,1.2526652958074538,1.2526652958074538,BuySell,30,,
31,VN30F1M,31,2020-01-07 02:00:00,873.9,874.4,872.8,872.8,6978.0,,CompareOHLCV,31,,737431.0833333334,Value,31,1040159000.0,Broker,31,1040159000.0,1040159000.0,Trades - Net Profit/Loss,31,,,DrawDown,31,1.2526652958074538,1.2526652958074538,BuySell,31,,
32,VN30F1M,32,2020-01-07 02:30:00,872.9,873.4,871.7,873.1,8292.0,,CompareOHLCV,32,,737431.1041666666,Value,32,1040159000.0,Broker,32,1040159000.0,1040159000.0,Trades - Net Profit/Loss,32,,,DrawDown,32,1.2526652958074538,1.2526652958074538,BuySell,32,,
