Id,VN30F1M,len,datetime,open,high,low,close,volume,openinterest,volImbalance,len,datetime,datetime,Value,len,value,Broker,len,cash,value,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,BuySell,len,buy,sell
22,VN30F1M,22,2020-01-08 03:00:00,870.1,870.9,868.8,869.3,13675.0,,volImbalance,22,,737432.125,Value,22,1033890500.0000005,Broker,22,1033890465.0000005,1033890500.0000005,Trades - Net Profit/Loss,22,,,DrawDown,22,0.0,0.2694999999999642,BuySell,22,870.1,
23,VN30F1M,23,2020-01-08 04:00:00,869.3,869.4,864.4,865.2,14692.0,,volImbalance,23,,737432.1666666666,Value,23,1048240500.0000001,Broker,23,1048240465.0000001,1048240500.0000001,Trades - Net Profit/Loss,23,,,DrawDown,23,0.0,0.2694999999999642,BuySell,23,,
24,VN30F1M,24,2020-01-08 06:00:00,865.0,867.3,863.4,866.9,21856.0,,volImbalance,24,,737432.25,Value,24,1042290500.0000004,Broker,24,1042290465.0000004,1042290500.0000004,Trades - Net Profit/Loss,24,,,DrawDown,24,0.5676178319765132,0.5676178319765132,BuySell,24,,
25,VN30F1M,25,2020-01-08 07:00:00,866.8,867.6,863.7,863.7,17758.0,,volImbalance,25,,737432.2916666666,Value,25,1053490500.0000001,Broker,25,1053490465.0000001,1053490500.0000001,Trades - Net Profit/Loss,25,,,DrawDown,25,0.0,0.5676178319765132,BuySell,25,,
26,VN30F1M,26,2020-01-09 02:00:00,869.2,871.1,868.7,870.3,14902.0,,volImbalance,26,,737433.0833333334,Value,26,1030282000.0000005,Broker,26,1030281965.0000005,1030282000.0000005,Trades - Net Profit/Loss,26,,,DrawDown,26,2.203009898997631,2.203009898997631,BuySell,26,,
27,VN30F1M,27,2020-01-09 03:00:00,870.3,872.5,869.4,872.0,15432.0,,volImbalance,27,,737433.125,Value,27,1018084500.0000001,Broker,27,1018084430.0000001,1018084500.0000001,Trades - Net Profit/Loss,27,,,DrawDown,27,3.360827648659385,3.360827648659385,BuySell,27,,870.3
28,VN30F1M,28,2020-01-09 04:00:00,872.0,873.9,872.0,873.0,11755.0,,volImbalance,28,,737433.1666666666,Value,28,1011084500.0000001,Broker,28,1011084430.0000001,1011084500.0000001,Trades - Net Profit/Loss,28,,,DrawDown,28,4.025285467690501,4.025285467690501,BuySell,28,,
29,VN30F1M,29,2020-01-09 06:00:00,873.5,874.8,873.0,874.2,15220.0,,volImbalance,29,,737433.25,Value,29,1002684499.9999998,Broker,29,1002684429.9999998,1002684499.9999998,Trades - Net Profit/Loss,29,,,DrawDown,29,4.822634850527875,4.822634850527875,BuySell,29,,
30,VN30F1M,30,2020-01-09 07:00:00,874.2,876.1,873.7,874.8,16894.0,,volImbalance,30,,737433.2916666666,Value,30,998484500.0000004,Broker,30,998484430.0000004,998484500.0000004,Trades - Net Profit/Loss,30,,,DrawDown,30,5.2213095419464866,5.2213095419464866,BuySell,30,,
31,VN30F1M,31,2020-01-10 02:00:00,876.1,877.2,875.4,877.1,12931.0,,volImbalance,31,,737434.0833333334,Value,31,994977499.9999999,Broker,31,994977429.9999999,994977499.9999999,Trades - Net Profit/Loss,31,,-11427500.00000008,DrawDown,31,5.554202909281122,5.554202909281122,BuySell,31,876.1,
32,VN30F1M,32,2020-01-10 03:00:00,877.1,877.8,876.0,877.2,9272.0,,volImbalance,32,,737434.125,Value,32,995677500.0,Broker,32,995677430.0,995677500.0,Trades - Net Profit/Loss,32,,,DrawDown,32,5.487757127377998,5.554202909281122,BuySell,32,,
33,VN30F1M,33,2020-01-10 04:00:00,877.4,880.8,877.4,880.2,12725.0,,volImbalance,33,,737434.1666666666,Value,33,1016677500.0,Broker,33,1016677430.0,1016677500.0,Trades - Net Profit/Loss,33,,,DrawDown,33,3.4943836702846505,5.554202909281122,BuySell,33,,
34,VN30F1M,34,2020-01-10 06:00:00,880.5,884.2,880.5,881.8,21361.0,,volImbalance,34,,737434.25,Value,34,1023029999.9999995,Broker,34,1023029964.9999995,1023029999.9999995,Trades - Net Profit/Loss,34,,,DrawDown,34,2.891388199513958,5.554202909281122,BuySell,34,,880.5
35,VN30F1M,35,2020-01-10 07:00:00,881.9,881.9,876.5,878.7,25600.0,,volImbalance,35,,737434.2916666666,Value,35,1012179999.9999999,Broker,35,1012179964.9999999,1012179999.9999999,Trades - Net Profit/Loss,35,,,DrawDown,35,3.9212978190121537,5.554202909281122,BuySell,35,,
36,VN30F1M,36,2020-01-13 02:00:00,881.0,883.0,879.6,882.6,15023.0,,volImbalance,36,,737437.0833333334,Value,36,1030806999.9999999,Broker,36,1030806929.9999999,1030806999.9999999,Trades - Net Profit/Loss,36,,,DrawDown,36,2.153175562570354,5.554202909281122,BuySell,36,881.0,
37,VN30F1M,37,2020-01-13 03:00:00,882.7,882.7,878.6,880.3,15264.0,,volImbalance,37,,737437.125,Value,37,1022809499.9999998,Broker,37,1022809464.9999998,1022809499.9999998,Trades - Net Profit/Loss,37,,,DrawDown,37,2.9123186208134153,5.554202909281122,BuySell,37,,882.7
38,VN30F1M,38,2020-01-13 04:00:00,880.2,882.7,880.0,880.6,7805.0,,volImbalance,38,,737437.1666666666,Value,38,1023859500.0,Broker,38,1023859465.0,1023859500.0,Trades - Net Profit/Loss,38,,,DrawDown,38,2.8126499479587252,5.554202909281122,BuySell,38,,
39,VN30F1M,39,2020-01-13 06:00:00,880.6,881.1,877.7,879.9,19126.0,,volImbalance,39,,737437.25,Value,39,1021409499.9999999,Broker,39,1021409464.9999999,1021409499.9999999,Trades - Net Profit/Loss,39,,,DrawDown,39,3.045210184619627,5.554202909281122,BuySell,39,,
40,VN30F1M,40,2020-01-13 07:00:00,879.8,880.9,877.9,879.5,12004.0,,volImbalance,40,,737437.2916666666,Value,40,1018662000.0000001,Broker,40,1018661930.0000001,1018662000.0000001,Trades - Net Profit/Loss,40,,,DrawDown,40,3.3060098785893177,5.554202909281122,BuySell,40,879.8,
41,VN30F1M,41,2020-01-14 02:00:00,880.5,884.6,880.1,884.2,19065.0,,volImbalance,41,,737438.0833333334,Value,41,1051345000.0000005,Broker,41,1051344930.0000005,1051345000.0000005,Trades - Net Profit/Loss,41,,,DrawDown,41,0.20365632153300312,5.554202909281122,BuySell,41,,
42,VN30F1M,42,2020-01-14 03:00:00,884.3,885.6,883.2,884.4,17125.0,,volImbalance,42,,737438.125,Value,42,1052745000.0,Broker,42,1052744930.0,1052745000.0,Trades - Net Profit/Loss,42,,,DrawDown,42,0.07076475772682517,5.554202909281122,BuySell,42,,
43,VN30F1M,43,2020-01-14 04:00:00,884.3,885.4,883.8,884.1,7150.0,,volImbalance,43,,737438.1666666666,Value,43,1051047500.0,Broker,43,1051047465.0,1051047500.0,Trades - Net Profit/Loss,43,,,DrawDown,43,0.2318957788418708,5.554202909281122,BuySell,43,,884.3
44,VN30F1M,44,2020-01-14 06:00:00,884.0,884.6,882.7,883.4,15671.0,,volImbalance,44,,737438.25,Value,44,1046199999.9999998,Broker,44,1046199929.9999998,1046199999.9999998,Trades - Net Profit/Loss,44,,,DrawDown,44,0.6920328185209412,5.554202909281122,BuySell,44,884.0,
45,VN30F1M,45,2020-01-14 07:00:00,883.4,883.8,881.2,882.3,15356.0,,volImbalance,45,,737438.2916666666,Value,45,1038499999.9999996,Broker,45,1038499929.9999996,1038499999.9999996,Trades - Net Profit/Loss,45,,,DrawDown,45,1.4229364194551801,5.554202909281122,BuySell,45,,
46,VN30F1M,46,2020-01-15 02:00:00,882.1,882.5,880.1,881.6,13030.0,,volImbalance,46,,737439.0833333334,Value,46,1033383000.0000001,Broker,46,1033382930.0000001,1033383000.0000001,Trades - Net Profit/Loss,46,,,DrawDown,46,1.9086550851668806,5.554202909281122,BuySell,46,,
47,VN30F1M,47,2020-01-15 03:00:00,881.7,883.5,881.2,881.8,12084.0,,volImbalance,47,,737439.125,Value,47,1034782999.9999996,Broker,47,1034782929.9999996,1034782999.9999996,Trades - Net Profit/Loss,47,,,DrawDown,47,1.7757635213607028,5.554202909281122,BuySell,47,,
48,VN30F1M,48,2020-01-15 04:00:00,881.7,882.6,881.3,882.5,4272.0,,volImbalance,48,,737439.1666666666,Value,48,1039683000.0,Broker,48,1039682930.0,1039683000.0,Trades - Net Profit/Loss,48,,,DrawDown,48,1.3106430480388875,5.554202909281122,BuySell,48,,
49,VN30F1M,49,2020-01-15 06:00:00,882.6,882.7,880.4,882.1,12953.0,,volImbalance,49,,737439.25,Value,49,1036883000.0000001,Broker,49,1036882930.0000001,1036883000.0000001,Trades - Net Profit/Loss,49,,,DrawDown,49,1.5764261756513227,5.554202909281122,BuySell,49,,
50,VN30F1M,50,2020-01-15 07:00:00,882.0,884.0,881.6,883.8,17451.0,,volImbalance,50,,737439.2916666666,Value,50,1048782999.9999996,Broker,50,1048782929.9999996,1048782999.9999996,Trades - Net Profit/Loss,50,,,DrawDown,50,0.4468478832984708,5.554202909281122,BuySell,50,,
51,VN30F1M,51,2020-01-16 02:00:00,886.0,888.1,885.6,887.8,15053.0,,volImbalance,51,,737440.0833333334,Value,51,1076565999.9999995,Broker,51,1076565929.9999995,1076565999.9999995,Trades - Net Profit/Loss,51,,,DrawDown,51,0.0,5.554202909281122,BuySell,51,,
52,VN30F1M,52,2020-01-16 03:00:00,887.8,890.3,887.3,889.5,11500.0,,volImbalance,52,,737440.125,Value,52,1088465999.9999998,Broker,52,1088465929.9999998,1088465999.9999998,Trades - Net Profit/Loss,52,,,DrawDown,52,0.0,5.554202909281122,BuySell,52,,
53,VN30F1M,53,2020-01-16 04:00:00,889.6,891.4,889.4,891.0,6005.0,,volImbalance,53,,737440.1666666666,Value,53,1098965999.9999998,Broker,53,1098965929.9999998,1098965999.9999998,Trades - Net Profit/Loss,53,,,DrawDown,53,0.0,5.554202909281122,BuySell,53,,
54,VN30F1M,54,2020-01-16 06:00:00,891.8,892.0,890.3,891.6,13618.0,,volImbalance,54,,737440.25,Value,54,1103568499.9999995,Broker,54,1103568464.9999995,1103568499.9999995,Trades - Net Profit/Loss,54,,,DrawDown,54,0.0,5.554202909281122,BuySell,54,,891.8
55,VN30F1M,55,2020-01-16 07:00:00,891.6,892.3,890.6,892.1,8280.0,,volImbalance,55,,737440.2916666666,Value,55,1105318499.9999995,Broker,55,1105318464.9999995,1105318499.9999995,Trades - Net Profit/Loss,55,,,DrawDown,55,0.0,5.554202909281122,BuySell,55,,
56,VN30F1M,56,2020-01-17 02:00:00,895.0,895.5,892.7,893.2,16460.0,,volImbalance,56,,737441.0833333334,Value,56,1109059999.9999995,Broker,56,1109059964.9999995,1109059999.9999995,Trades - Net Profit/Loss,56,,,DrawDown,56,0.0,5.554202909281122,BuySell,56,,
57,VN30F1M,57,2020-01-17 03:00:00,893.3,893.4,892.3,892.8,8256.0,,volImbalance,57,,737441.125,Value,57,1107659999.9999993,Broker,57,1107659964.9999993,1107659999.9999993,Trades - Net Profit/Loss,57,,,DrawDown,57,0.12623302616632454,5.554202909281122,BuySell,57,,
58,VN30F1M,58,2020-01-17 04:00:00,892.9,893.8,892.1,892.3,6077.0,,volImbalance,58,,737441.1666666666,Value,58,1105909999.9999993,Broker,58,1105909964.9999993,1105909999.9999993,Trades - Net Profit/Loss,58,,,DrawDown,58,0.2840243088742034,5.554202909281122,BuySell,58,,
59,VN30F1M,59,2020-01-17 06:00:00,892.3,892.3,889.5,891.4,20236.0,,volImbalance,59,,737441.25,Value,59,1102759999.9999993,Broker,59,1102759964.9999993,1102759999.9999993,Trades - Net Profit/Loss,59,,,DrawDown,59,0.5680486177483852,5.554202909281122,BuySell,59,,
60,VN30F1M,60,2020-01-17 07:00:00,891.3,893.8,890.5,893.5,18287.0,,volImbalance,60,,737441.2916666666,Value,60,1117512499.9999995,Broker,60,1117512429.9999995,1117512499.9999995,Trades - Net Profit/Loss,60,,,DrawDown,60,0.0,5.554202909281122,BuySell,60,891.3,
61,VN30F1M,61,2020-01-20 02:00:00,893.1,895.8,892.8,893.6,14288.0,,volImbalance,61,,737444.0833333334,Value,61,1117561499.9999998,Broker,61,1117561429.9999998,1117561499.9999998,Trades - Net Profit/Loss,61,,,DrawDown,61,0.0,5.554202909281122,BuySell,61,,
62,VN30F1M,62,2020-01-20 03:00:00,893.5,893.9,891.6,893.5,11013.0,,volImbalance,62,,737444.125,Value,62,1116861499.9999995,Broker,62,1116861429.9999995,1116861499.9999995,Trades - Net Profit/Loss,62,,,DrawDown,62,0.06263637392664641,5.554202909281122,BuySell,62,,
63,VN30F1M,63,2020-01-20 04:00:00,893.5,894.5,893.1,893.4,7351.0,,volImbalance,63,,737444.1666666666,Value,63,1116161499.9999993,Broker,63,1116161429.9999993,1116161499.9999993,Trades - Net Profit/Loss,63,,,DrawDown,63,0.12527274785329282,5.554202909281122,BuySell,63,,
64,VN30F1M,64,2020-01-20 06:00:00,893.1,894.2,892.1,894.1,10314.0,,volImbalance,64,,737444.25,Value,64,1121061499.9999995,Broker,64,1121061429.9999995,1121061499.9999995,Trades - Net Profit/Loss,64,,,DrawDown,64,0.0,5.554202909281122,BuySell,64,,
65,VN30F1M,65,2020-01-20 07:00:00,894.1,897.0,893.3,896.9,16955.0,,volImbalance,65,,737444.2916666666,Value,65,1140661499.9999993,Broker,65,1140661429.9999993,1140661499.9999993,Trades - Net Profit/Loss,65,,,DrawDown,65,0.0,5.554202909281122,BuySell,65,,
66,VN30F1M,66,2020-01-21 02:00:00,896.1,899.1,896.0,898.8,13733.0,,volImbalance,66,,737445.0833333334,Value,66,1153744499.999999,Broker,66,1153744429.999999,1153744499.999999,Trades - Net Profit/Loss,66,,,DrawDown,66,0.0,5.554202909281122,BuySell,66,,
67,VN30F1M,67,2020-01-21 03:00:00,898.9,899.9,898.2,898.9,8859.0,,volImbalance,67,,737445.125,Value,67,1154444499.9999993,Broker,67,1154444429.9999993,1154444499.9999993,Trades - Net Profit/Loss,67,,,DrawDown,67,0.0,5.554202909281122,BuySell,67,,
68,VN30F1M,68,2020-01-21 04:00:00,899.0,901.8,898.6,901.7,7893.0,,volImbalance,68,,737445.1666666666,Value,68,1164296999.9999995,Broker,68,1164296964.9999995,1164296999.9999995,Trades - Net Profit/Loss,68,,,DrawDown,68,0.0,5.554202909281122,BuySell,68,,899.0
69,VN30F1M,69,2020-01-21 06:00:00,902.0,904.6,900.7,904.5,18896.0,,volImbalance,69,,737445.25,Value,69,1174096999.9999993,Broker,69,1174096964.9999993,1174096999.9999993,Trades - Net Profit/Loss,69,,,DrawDown,69,0.0,5.554202909281122,BuySell,69,,
70,VN30F1M,70,2020-01-21 07:00:00,904.4,904.5,902.0,902.2,13571.0,,volImbalance,70,,737445.2916666666,Value,70,1166046999.9999995,Broker,70,1166046964.9999995,1166046999.9999995,Trades - Net Profit/Loss,70,,,DrawDown,70,0.6856332994633123,5.554202909281122,BuySell,70,,
71,VN30F1M,71,2020-01-22 02:00:00,902.5,905.4,901.8,904.3,15088.0,,volImbalance,71,,737446.0833333334,Value,71,1173288499.9999993,Broker,71,1173288464.9999993,1173288499.9999993,Trades - Net Profit/Loss,71,,,DrawDown,71,0.06886143138088253,5.554202909281122,BuySell,71,,
72,VN30F1M,72,2020-01-22 03:00:00,904.4,905.1,903.1,904.4,9528.0,,volImbalance,72,,737446.125,Value,72,1173638499.9999993,Broker,72,1173638464.9999993,1173638499.9999993,Trades - Net Profit/Loss,72,,,DrawDown,72,0.03905128792595503,5.554202909281122,BuySell,72,,
73,VN30F1M,73,2020-01-22 04:00:00,904.3,905.3,903.5,905.0,4510.0,,volImbalance,73,,737446.1666666666,Value,73,1175738499.9999993,Broker,73,1175738464.9999993,1175738499.9999993,Trades - Net Profit/Loss,73,,,DrawDown,73,0.0,5.554202909281122,BuySell,73,,
74,VN30F1M,74,2020-01-22 06:00:00,905.2,909.1,904.1,907.8,18189.0,,volImbalance,74,,737446.25,Value,74,1185538499.999999,Broker,74,1185538464.999999,1185538499.999999,Trades - Net Profit/Loss,74,,,DrawDown,74,0.0,5.554202909281122,BuySell,74,,
75,VN30F1M,75,2020-01-22 07:00:00,907.9,909.0,905.3,909.0,16738.0,,volImbalance,75,,737446.2916666666,Value,75,1189738499.9999993,Broker,75,1189738464.9999993,1189738499.9999993,Trades - Net Profit/Loss,75,,,DrawDown,75,0.0,5.554202909281122,BuySell,75,,
76,VN30F1M,76,2020-01-30 02:00:00,903.7,904.0,894.5,894.8,22314.0,,volImbalance,76,,737454.0833333334,Value,76,1139170499.999999,Broker,76,1139170464.999999,1139170499.999999,Trades - Net Profit/Loss,76,,,DrawDown,76,4.250345769259402,5.554202909281122,BuySell,76,,
77,VN30F1M,77,2020-01-30 03:00:00,894.7,895.3,888.3,888.3,18038.0,,volImbalance,77,,737454.125,Value,77,1116420499.999999,Broker,77,1116420464.999999,1116420499.999999,Trades - Net Profit/Loss,77,,,DrawDown,77,6.162530673757324,6.162530673757324,BuySell,77,,
78,VN30F1M,78,2020-01-30 04:00:00,888.5,889.1,879.5,879.5,12654.0,,volImbalance,78,,737454.1666666666,Value,78,1148025499.9999993,Broker,78,1148025464.9999993,1148025499.9999993,Trades - Net Profit/Loss,78,128250499.99999997,,DrawDown,78,3.5060645679701907,6.162530673757324,BuySell,78,,888.5
79,VN30F1M,79,2020-01-30 06:00:00,879.0,883.3,873.4,878.7,33326.0,,volImbalance,79,,737454.25,Value,79,1150825499.999999,Broker,79,1150825464.999999,1150825499.999999,Trades - Net Profit/Loss,79,,,DrawDown,79,3.270718733570466,6.162530673757324,BuySell,79,,
80,VN30F1M,80,2020-01-30 07:00:00,878.6,881.0,873.0,873.0,18340.0,,volImbalance,80,,737454.2916666666,Value,80,1170775499.9999993,Broker,80,1170775464.9999993,1170775499.9999993,Trades - Net Profit/Loss,80,,,DrawDown,80,1.5938796634722683,6.162530673757324,BuySell,80,,
81,VN30F1M,81,2020-01-31 02:00:00,879.0,879.2,869.5,872.8,38316.0,,volImbalance,81,,737455.0833333334,Value,81,1171366999.9999995,Broker,81,1171366964.9999995,1171366999.9999995,Trades - Net Profit/Loss,81,,,DrawDown,81,1.5441628559553022,6.162530673757324,BuySell,81,,
82,VN30F1M,82,2020-01-31 03:00:00,873.0,875.9,871.4,873.6,25270.0,,volImbalance,82,,737455.125,Value,82,1168566999.9999993,Broker,82,1168566964.9999993,1168566999.9999993,Trades - Net Profit/Loss,82,,,DrawDown,82,1.7795086903550665,6.162530673757324,BuySell,82,,
83,VN30F1M,83,2020-01-31 04:00:00,873.5,875.0,871.0,871.1,8962.0,,volImbalance,83,,737455.1666666666,Value,83,1177316999.9999993,Broker,83,1177316964.9999993,1177316999.9999993,Trades - Net Profit/Loss,83,,,DrawDown,83,1.0440529578558655,6.162530673757324,BuySell,83,,
84,VN30F1M,84,2020-01-31 06:00:00,870.5,870.5,860.0,862.4,39274.0,,volImbalance,84,,737455.25,Value,84,1207766999.9999995,Broker,84,1207766964.9999995,1207766999.9999995,Trades - Net Profit/Loss,84,,,DrawDown,84,0.0,6.162530673757324,BuySell,84,,
85,VN30F1M,85,2020-01-31 07:00:00,862.4,862.5,850.0,852.0,26527.0,,volImbalance,85,,737455.2916666666,Value,85,1244166999.9999995,Broker,85,1244166964.9999995,1244166999.9999995,Trades - Net Profit/Loss,85,,,DrawDown,85,0.0,6.162530673757324,BuySell,85,,
86,VN30F1M,86,2020-02-03 02:00:00,847.1,850.0,812.1,825.0,53684.0,,volImbalance,86,,737458.0833333334,Value,86,1338341499.9999995,Broker,86,1338341464.9999995,1338341499.9999995,Trades - Net Profit/Loss,86,,,DrawDown,86,0.0,6.162530673757324,BuySell,86,,
87,VN30F1M,87,2020-02-03 03:00:00,825.3,827.3,816.1,819.0,31020.0,,volImbalance,87,,737458.125,Value,87,1359341499.9999995,Broker,87,1359341464.9999995,1359341499.9999995,Trades - Net Profit/Loss,87,,,DrawDown,87,0.0,6.162530673757324,BuySell,87,,
88,VN30F1M,88,2020-02-03 04:00:00,819.5,825.5,817.5,822.5,13841.0,,volImbalance,88,,737458.1666666666,Value,88,1347091499.9999995,Broker,88,1347091464.9999995,1347091499.9999995,Trades - Net Profit/Loss,88,,,DrawDown,88,0.9011716334710597,6.162530673757324,BuySell,88,,
89,VN30F1M,89,2020-02-03 06:00:00,823.2,845.0,823.2,844.3,53797.0,,volImbalance,89,,737458.25,Value,89,1270791499.9999998,Broker,89,1270791464.9999998,1270791499.9999998,Trades - Net Profit/Loss,89,,,DrawDown,89,6.5141835219479285,6.5141835219479285,BuySell,89,,
90,VN30F1M,90,2020-02-03 07:00:00,845.0,845.7,837.1,841.0,29740.0,,volImbalance,90,,737458.2916666666,Value,90,1282341499.9999995,Broker,90,1282341464.9999995,1282341499.9999995,Trades - Net Profit/Loss,90,,,DrawDown,90,5.664507410389517,6.5141835219479285,BuySell,90,,
91,VN30F1M,91,2020-02-04 02:00:00,844.9,848.2,834.0,837.9,47268.0,,volImbalance,91,,737459.0833333334,Value,91,1293082999.9999995,Broker,91,1293082964.9999995,1293082999.9999995,Trades - Net Profit/Loss,91,,,DrawDown,91,4.87430862664018,6.5141835219479285,BuySell,91,,
92,VN30F1M,92,2020-02-04 03:00:00,837.7,838.6,831.2,836.2,38809.0,,volImbalance,92,,737459.125,Value,92,1299032999.9999993,Broker,92,1299032964.9999993,1299032999.9999993,Trades - Net Profit/Loss,92,,,DrawDown,92,4.436596690382825,6.5141835219479285,BuySell,92,,
93,VN30F1M,93,2020-02-04 04:00:00,836.4,843.9,836.4,841.5,25205.0,,volImbalance,93,,737459.1666666666,Value,93,1280482999.9999995,Broker,93,1280482964.9999995,1280482999.9999995,Trades - Net Profit/Loss,93,,,DrawDown,93,5.801228021067556,6.5141835219479285,BuySell,93,,
